"Species","YEAR","Rate","PARAMETER","param.descr","value"
"BEWR",1996,31.2840043525571,"PRECTOT","Precipitation (mm day-1) ",847.76
"BEWR",1996,31.2840043525571,"RH2M","Relative Humidity at 2 Meters (%) ",68.96
"BEWR",1996,31.2840043525571,"T2M","Temperature at 2 Meters (C) ",14.56
"BEWR",1996,31.2840043525571,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.84
"BEWR",1996,31.2840043525571,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.01
"BEWR",1996,31.2840043525571,"PS","Surface Pressure (kPa) ",98.8
"BEWR",1996,31.2840043525571,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.9
"BEWR",1996,31.2840043525571,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.68
"BEWR",1996,31.2840043525571,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.56
"BEWR",1996,31.2840043525571,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"BEWR",1996,31.2840043525571,"WS2M","Wind Speed at 2 Meters (m/s) ",1.71
"BEWR",1996,31.2840043525571,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"BEWR",1997,31.3539393682605,"PRECTOT","Precipitation (mm day-1) ",498.01
"BEWR",1997,31.3539393682605,"RH2M","Relative Humidity at 2 Meters (%) ",68.92
"BEWR",1997,31.3539393682605,"T2M","Temperature at 2 Meters (C) ",14.59
"BEWR",1997,31.3539393682605,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",22.01
"BEWR",1997,31.3539393682605,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.98
"BEWR",1997,31.3539393682605,"PS","Surface Pressure (kPa) ",98.81
"BEWR",1997,31.3539393682605,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",1
"BEWR",1997,31.3539393682605,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.78
"BEWR",1997,31.3539393682605,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.71
"BEWR",1997,31.3539393682605,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.89
"BEWR",1997,31.3539393682605,"WS2M","Wind Speed at 2 Meters (m/s) ",1.81
"BEWR",1997,31.3539393682605,"WS10M","Wind Speed at 10 Meters (m/s) ",3.17
"BEWR",1998,14.9705692218706,"PRECTOT","Precipitation (mm day-1) ",899.91
"BEWR",1998,14.9705692218706,"RH2M","Relative Humidity at 2 Meters (%) ",74.22
"BEWR",1998,14.9705692218706,"T2M","Temperature at 2 Meters (C) ",13.37
"BEWR",1998,14.9705692218706,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",19.71
"BEWR",1998,14.9705692218706,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.5
"BEWR",1998,14.9705692218706,"PS","Surface Pressure (kPa) ",98.77
"BEWR",1998,14.9705692218706,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.92
"BEWR",1998,14.9705692218706,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.67
"BEWR",1998,14.9705692218706,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.51
"BEWR",1998,14.9705692218706,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.73
"BEWR",1998,14.9705692218706,"WS2M","Wind Speed at 2 Meters (m/s) ",1.72
"BEWR",1998,14.9705692218706,"WS10M","Wind Speed at 10 Meters (m/s) ",3.01
"BEWR",1999,32.6131267835304,"PRECTOT","Precipitation (mm day-1) ",457.46
"BEWR",1999,32.6131267835304,"RH2M","Relative Humidity at 2 Meters (%) ",67.86
"BEWR",1999,32.6131267835304,"T2M","Temperature at 2 Meters (C) ",13.3
"BEWR",1999,32.6131267835304,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.82
"BEWR",1999,32.6131267835304,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",7.79
"BEWR",1999,32.6131267835304,"PS","Surface Pressure (kPa) ",98.92
"BEWR",1999,32.6131267835304,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.97
"BEWR",1999,32.6131267835304,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.62
"BEWR",1999,32.6131267835304,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.44
"BEWR",1999,32.6131267835304,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.78
"BEWR",1999,32.6131267835304,"WS2M","Wind Speed at 2 Meters (m/s) ",1.74
"BEWR",1999,32.6131267835304,"WS10M","Wind Speed at 10 Meters (m/s) ",3.03
"BEWR",2000,23.3177881470647,"PRECTOT","Precipitation (mm day-1) ",560.49
"BEWR",2000,23.3177881470647,"RH2M","Relative Humidity at 2 Meters (%) ",70.42
"BEWR",2000,23.3177881470647,"T2M","Temperature at 2 Meters (C) ",13.78
"BEWR",2000,23.3177881470647,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",20.94
"BEWR",2000,23.3177881470647,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.47
"BEWR",2000,23.3177881470647,"PS","Surface Pressure (kPa) ",98.87
"BEWR",2000,23.3177881470647,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.94
"BEWR",2000,23.3177881470647,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"BEWR",2000,23.3177881470647,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.36
"BEWR",2000,23.3177881470647,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"BEWR",2000,23.3177881470647,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2000,23.3177881470647,"WS10M","Wind Speed at 10 Meters (m/s) ",2.97
"BEWR",2001,39.938160250478,"PRECTOT","Precipitation (mm day-1) ",628.37
"BEWR",2001,39.938160250478,"RH2M","Relative Humidity at 2 Meters (%) ",68.31
"BEWR",2001,39.938160250478,"T2M","Temperature at 2 Meters (C) ",14.06
"BEWR",2001,39.938160250478,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.47
"BEWR",2001,39.938160250478,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.49
"BEWR",2001,39.938160250478,"PS","Surface Pressure (kPa) ",98.81
"BEWR",2001,39.938160250478,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
"BEWR",2001,39.938160250478,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.7
"BEWR",2001,39.938160250478,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.57
"BEWR",2001,39.938160250478,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.75
"BEWR",2001,39.938160250478,"WS2M","Wind Speed at 2 Meters (m/s) ",1.75
"BEWR",2001,39.938160250478,"WS10M","Wind Speed at 10 Meters (m/s) ",3.04
"BEWR",2002,67.29749571057,"PRECTOT","Precipitation (mm day-1) ",490.39
"BEWR",2002,67.29749571057,"RH2M","Relative Humidity at 2 Meters (%) ",68.08
"BEWR",2002,67.29749571057,"T2M","Temperature at 2 Meters (C) ",13.85
"BEWR",2002,67.29749571057,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.27
"BEWR",2002,67.29749571057,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.39
"BEWR",2002,67.29749571057,"PS","Surface Pressure (kPa) ",98.87
"BEWR",2002,67.29749571057,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.96
"BEWR",2002,67.29749571057,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.59
"BEWR",2002,67.29749571057,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.38
"BEWR",2002,67.29749571057,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.76
"BEWR",2002,67.29749571057,"WS2M","Wind Speed at 2 Meters (m/s) ",1.7
"BEWR",2002,67.29749571057,"WS10M","Wind Speed at 10 Meters (m/s) ",2.96
"BEWR",2003,39.6275014860313,"PRECTOT","Precipitation (mm day-1) ",452.78
"BEWR",2003,39.6275014860313,"RH2M","Relative Humidity at 2 Meters (%) ",69.45
"BEWR",2003,39.6275014860313,"T2M","Temperature at 2 Meters (C) ",14.4
"BEWR",2003,39.6275014860313,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.57
"BEWR",2003,39.6275014860313,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",9.02
"BEWR",2003,39.6275014860313,"PS","Surface Pressure (kPa) ",98.82
"BEWR",2003,39.6275014860313,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.91
"BEWR",2003,39.6275014860313,"WS2M_MAX","Maximum Wind Speed at 2 Meters (m/s) ",2.58
"BEWR",2003,39.6275014860313,"WS10M_MAX","Maximum Wind Speed at 10 Meters (m/s) ",4.37
"BEWR",2003,39.6275014860313,"WS10M_MIN","Minimum Wind Speed at 10 Meters (m/s) ",1.69
"BEWR",2003,39.6275014860313,"WS2M","Wind Speed at 2 Meters (m/s) ",1.66
"BEWR",2003,39.6275014860313,"WS10M","Wind Speed at 10 Meters (m/s) ",2.91
"BEWR",2004,41.1044589277316,"PRECTOT","Precipitation (mm day-1) ",454.93
"BEWR",2004,41.1044589277316,"RH2M","Relative Humidity at 2 Meters (%) ",68.56
"BEWR",2004,41.1044589277316,"T2M","Temperature at 2 Meters (C) ",14.24
"BEWR",2004,41.1044589277316,"T2M_MAX","Maximum Temperature at 2 Meters (C) ",21.54
"BEWR",2004,41.1044589277316,"T2M_MIN","Minimum Temperature at 2 Meters (C) ",8.81
"BEWR",2004,41.1044589277316,"PS","Surface Pressure (kPa) ",98.83
"BEWR",2004,41.1044589277316,"WS2M_MIN","Minimum Wind Speed at 2 Meters (m/s) ",0.95
